Price,Address,City,Zipcode,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,MLS ID,Listing Agent,Status,Listing URL
"$554,217","5926 Oak Ave, San Diego, CA 65383",San Diego,65383,CA,1 bds,3 ba,772 sqft,4757 sqft,1959,101,Townhouse,Z104635,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/80374762_zpid/
"$164,454","9583 Oak Ave, Fresno, IL 79339",Fresno,79339,IL,1 bds,1 ba,2348 sqft,3615 sqft,1969,46,Apartment,Z535721,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/86143665_zpid/
"$1,249,331","8224 Oak Ave, Sacramento, TX 87393",Sacramento,87393,TX,6 bds,1 ba,3630 sqft,9369 sqft,1990,59,Townhouse,Z900458,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/37082403_zpid/
"$189,267","232 Oak Ave, Fresno, TX 38666",Fresno,38666,TX,2 bds,1 ba,605 sqft,8804 sqft,1958,119,Apartment,Z318589,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/39318132_zpid/
"$465,778","5446 Pine Rd, Los Angeles, CA 23989",Los Angeles,23989,CA,3 bds,2 ba,1711 sqft,9260 sqft,2020,26,Townhouse,Z899716,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/22454634_zpid/
"$738,357","9202 Maple Dr, Sacramento, NY 71318",Sacramento,71318,NY,5 bds,3 ba,1177 sqft,8317 sqft,2015,35,Multi-Family,Z865468,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/90690049_zpid/
"$1,325,395","2698 Elm St, Sacramento, NY 57421",Sacramento,57421,NY,6 bds,1 ba,1990 sqft,5592 sqft,2012,94,Townhouse,Z689873,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/99288749_zpid/
"$1,158,003","2118 Main St, San Diego, IL 64361",San Diego,64361,IL,2 bds,2 ba,1008 sqft,6010 sqft,1975,75,Townhouse,Z329631,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/91922548_zpid/
"$240,095","9474 Main St, San Francisco, FL 13227",San Francisco,13227,FL,6 bds,2 ba,929 sqft,5449 sqft,1975,79,Townhouse,Z839936,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/79694016_zpid/
"$1,356,448","8803 Maple Dr, San Diego, NY 57397",San Diego,57397,NY,2 bds,3 ba,2094 sqft,2179 sqft,1970,111,Multi-Family,Z264011,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/13312383_zpid/
"$678,604","7535 Elm St, San Diego, FL 70072",San Diego,70072,FL,3 bds,3 ba,2350 sqft,3341 sqft,2013,25,Multi-Family,Z298501,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/27502592_zpid/
"$1,264,926","413 Main St, Fresno, CA 57401",Fresno,57401,CA,3 bds,1 ba,2407 sqft,2609 sqft,1989,79,Apartment,Z282442,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/63532546_zpid/
